nome,nome_pesquisa,nome_social,nome_social_pesquisa,nascimento,cpf,rg,data_emissao,orgao_emissor,uf_emissao,filiacao,escolaridade,email,telefone,celular,cep,rua,numero,complemento,bairro,cidade,uf,pcd,ps,ja_sorteado,id_turma
Luiz Otávio Cavalcanti,LUIZ OTÁVIO CAVALCANTI,,,1953-01-22,92983685691,392540871,2004-01-04,DETRAN,RJ,Eloah Borges,4,mdas-neves@example.net,+55 (021) 6534-8581,+55 (90) 99581 3328,30513194,Setor de Cavalcante,6,,Céu Azul,Almeida,RS,True,False,False,1
Gabriela da Cunha,GABRIELA DA CUNHA,,,1951-03-14,25262042244,153538717,1999-09-16,IFP,RS,Joaquim Casa Grande,3,ceciliada-conceicao@example.net,+55 71 7214-7650,+55 75 91385 9114,76935415,Esplanada Sá,511,,Santo Agostinho,Nascimento Verde,PR,False,False,False,1
Sarah Rios,SARAH RIOS,Arthur Gabriel Almeida,ARTHUR GABRIEL ALMEIDA,1963-09-28,77986552042,852117290,2000-12-02,IFP,RS,Dr. Luigi Azevedo,7,gda-mata@example.org,+55 (071) 4123 0208,+55 (40) 9 1181 2267,25098095,Sítio de da Costa,792,,Vila Bandeirantes,Albuquerque,SP,True,False,False,1
Dra. Ana Santos,DRA. ANA SANTOS,,,1966-05-07,00194006670,432182960,2004-08-29,OAB,PR,Otto Cavalcanti,7,leo18@example.net,0900 560 8319,+55 (39) 99325-2544,17423334,Colônia Antonella Araújo,15,,São Pedro,da Luz,RJ,False,False,False,1
Bárbara Fonseca,BÁRBARA FONSECA,,,2008-06-02,85949380126,453969731,2002-10-29,DETRAN,SP,Theodoro Ramos,2,rcorreia@example.org,+55 (031) 0844 0645,+55 (72) 9 0762 5465,01656551,Via Aparecida,32,,Minas Caixa,Nunes do Oeste,RS,False,True,False,1
Maria Luísa Andrade,MARIA LUÍSA ANDRADE,,,1945-10-17,11547399961,114428220,2000-09-01,IFP,PR,Maria Luísa Cardoso,5,luiz-fernandocostela@example.net,(061) 2489 7319,+55 (64) 9 1127 4051,92342-615,Vereda Jesus,4,,Nova Granada,Cunha,RS,False,False,False,1
Srta. Ana da Cruz,SRTA. ANA DA CRUZ,,,1966-03-22,37828092113,228072448,1998-01-04,IFP,MG,Dra. Zoe Montenegro,6,isampaio@example.org,(081) 7961 0973,+55 (56) 9 3243 0147,89583016,Condomínio de Silveira,33,,Alto Das Antenas,Leão de Cardoso,RS,False,False,False,1
Bryan Rocha,BRYAN ROCHA,,,1954-10-19,84719442943,,,,,Luiz Henrique Vieira,7,kevin70@example.org,+55 (071) 1775-7981,+55 (015) 95916-0200,24621497,Lagoa Cirino,429,,Vila Pinho,Araújo,RJ,False,False,False,1
Dra. Emanuelly Fogaça,DRA. EMANUELLY FOGAÇA,,,1968-10-13,93066370208,367371597,1995-03-30,SSP,SP,Sra. Natália Viana,3,camila72@example.net,(084) 4122 8193,+55 58 98528 5438,66149723,Rodovia de Pires,28,,São Vicente,Gonçalves,MG,False,False,False,1
Maria Vitória da Rosa,MARIA VITÓRIA DA ROSA,,,2006-10-30,41371960798,103702401,2002-07-31,DETRAN,RS,Ana Cecília da Cruz,2,nicoledias@example.org,+55 21 2952 6498,+55 95 9 5820 6886,80558-062,Avenida Isabela Correia,2,,Vila Formosa,Farias de Minas,MG,False,False,False,1
Isadora Moreira,ISADORA MOREIRA,,,1997-04-03,87230817242,,,,,Davi Lucas Mendes,6,alvesthomas@example.org,81 7610-4851,+55 76 9 9990 6787,20869-746,Sítio de Araújo,1,,Ouro Preto,da Costa,SP,True,False,False,1
Rael Sampaio,RAEL SAMPAIO,,,1974-12-27,30455535086,616780976,2002-05-06,DETRAN,RS,João Pedro Cunha,2,britoantonella@example.org,+55 41 1955-5133,+55 (094) 95404 9216,61865491,Loteamento Fernando da Mata,82,,Camponesa 1ª Seção,Cunha Paulista,PR,False,False,False,1
Dr. Fernando Caldeira,DR. FERNANDO CALDEIRA,,,1992-01-25,18279758909,141975981,1998-05-16,OAB,MG,Dr. Luiz Miguel Camargo,6,isaquemelo@example.org,21 5434 4511,+55 80 9 5442-3619,03534-314,Parque Melina Pereira,64,,Vila Madre Gertrudes 1ª Seção,da Mata Verde,RS,False,False,False,1
Srta. Maria Ribeiro,SRTA. MARIA RIBEIRO,,,2009-02-26,96910988221,788132647,1995-10-25,DETRAN,RS,Cecilia Vieira,3,isaac85@example.com,0500 730 7698,+55 (99) 9 8925-9820,89518119,Jardim Ana Laura da Cunha,91,,Paquetá,Rodrigues,RJ,False,False,False,1
André Duarte,ANDRÉ DUARTE,Isabela Guerra,ISABELA GUERRA,1953-07-07,51345897120,231258564,1994-07-30,OAB,MG,Luara Ribeiro,3,aandrade@example.net,+55 (031) 5716 9108,+55 (80) 97542 8760,34379132,Lago da Mata,238,,Barreiro,Santos,RJ,False,False,False,1
Vitor Gabriel Farias,VITOR GABRIEL FARIAS,,,1957-11-15,10330295055,502506153,1999-05-09,OAB,RS,Lucca Moura,5,raraujo@example.net,+55 84 8480 1232,+55 (058) 94016 2962,05993-356,Parque de Gomes,993,,Castanheira,Rios,PR,False,False,False,1
Rafael Sales,RAFAEL SALES,Isaac Moura,ISAAC MOURA,2010-09-06,17190602070,865644103,2004-04-19,DETRAN,RJ,Bella Moura,2,lcavalcanti@example.org,71 7803 0313,+55 10 96738 3327,99857491,Viaduto de Sá,131,,Ribeiro De Abreu,Sales das Flores,RS,False,False,False,1
Lavínia Gomes,LAVÍNIA GOMES,Vinícius Rocha,VINÍCIUS ROCHA,1976-08-22,38235886480,,,,,Enrico da Luz,2,eloahcastro@example.net,+55 51 7961 0973,+55 97 9 8895 3776,54882-438,Alameda Albuquerque,93,,Tirol,Gomes da Serra,RJ,False,False,False,1
Benjamin Aparecida,BENJAMIN APARECIDA,Léo Almeida,LÉO ALMEIDA,1973-07-23,99442342657,,,,,Giovanna Câmara,7,hcorreia@example.net,(061) 4408-6420,+55 (05) 9 3338-8669,86663910,Recanto Luiz Miguel Nogueira,11,,Braúnas,da Rosa de Rodrigues,MG,False,False,False,1
Arthur Aparecida,ARTHUR APARECIDA,Sra. Olivia Porto,SRA. OLIVIA PORTO,1945-11-04,49275902402,839344408,2000-09-26,OAB,PR,Isabelly Albuquerque,3,sfreitas@example.net,+55 (021) 0706 5405,+55 98 9 3743-0758,93356244,Residencial Castro,83,,Unidas,da Luz Paulista,RS,False,True,False,1
Sr. Ian Oliveira,SR. IAN OLIVEIRA,,,1964-02-04,89796647451,565878466,2000-10-05,DETRAN,SP,Felipe Aparecida,7,mirella64@example.net,+55 (051) 6870-1757,+55 (04) 9 2692-7446,62984944,Área Ribeiro,32,,Vila Nova Cachoeirinha 2ª Seção,da Cruz,RS,False,False,False,1
Julia Castro,JULIA CASTRO,,,1960-10-02,75281507460,345065630,2001-08-18,IFP,RS,Dra. Emilly Cirino,2,pereirayago@example.net,+55 (051) 8281 3548,+55 03 9 7113 9137,71902907,Praça Brito,551,,Vila Nova Cachoeirinha 1ª Seção,Almeida,PR,True,False,False,1
Théo Costa,THÉO COSTA,,,2001-07-25,34945199272,,,,,Luiz Otávio Rezende,4,arthurdias@example.net,+55 31 5330 4890,+55 12 92762-1231,62006-566,Pátio Aragão,93,,Alta Tensão 1ª Seção,Fogaça de Ferreira,RJ,False,False,False,1
Vinícius Marques,VINÍCIUS MARQUES,,,1987-12-27,16005499343,985230605,1998-04-03,SSP,MG,Maria Flor Cavalcanti,2,fernando18@example.net,81 9973 7236,+55 (34) 92265-0676,38435-978,Trecho de Cassiano,47,,Jardim Montanhês,Moraes,SP,False,False,False,1
Enrico Borges,ENRICO BORGES,Mariane Aparecida,MARIANE APARECIDA,1960-02-19,38342973212,844131996,1998-08-25,IFP,RJ,Joana da Cunha,4,ana-sophia43@example.org,+55 51 1963 6505,+55 (36) 90462 0217,78168391,Viela da Cunha,42,,Xodo-Marize,Mendes,MG,False,False,False,1
Liam Garcia,LIAM GARCIA,,,1962-11-26,90534784690,746755213,2000-11-07,DETRAN,MG,Vitor Gabriel Montenegro,7,bruno26@example.net,+55 (084) 4964 8099,+55 70 9 3258 8544,50881732,Morro de Aparecida,22,,Camponesa 2ª Seção,Macedo,PR,False,False,False,1
Ana Carolina da Luz,ANA CAROLINA DA LUZ,Marcelo Rodrigues,MARCELO RODRIGUES,1981-09-30,81308114052,824678450,2004-12-16,OAB,RS,Marina Freitas,6,mariane67@example.net,+55 21 1557-9012,+55 65 91717-9392,11134866,Rua Campos,270,,Venda Nova,Brito Grande,MG,False,False,False,1
Maria Isis Castro,MARIA ISIS CASTRO,,,1979-04-30,58716037936,887318055,2003-06-27,OAB,MG,Dr. Benício Cavalcante,5,silveiranatalia@example.net,+55 51 3735 7472,+55 28 94048-8364,01650-787,Feira de da Paz,180,,Nova Gameleira,Carvalho de Monteiro,MG,False,False,False,1
Luana Nogueira,LUANA NOGUEIRA,,,1972-02-08,46860480793,516854765,1997-08-24,SSP,SP,Sr. Pietro Leão,3,fariasalice@example.com,+55 (021) 5521-4131,+55 (35) 9 9599 9664,60541-529,Residencial de Pereira,74,,Araguaia,Cunha,PR,False,False,False,1
João Lucas Cavalcante,JOÃO LUCAS CAVALCANTE,,,1971-06-14,24520040574,,,,,Sr. Vitor Hugo Rios,5,rafael89@example.net,(011) 9143 5567,+55 (031) 92821 4778,61932-730,Rodovia Luigi Carvalho,8,,Tres Marias,Freitas,SP,False,False,False,1
Dra. Amanda Borges,DRA. AMANDA BORGES,,,2010-11-09,74905186609,548715299,2003-11-21,IFP,SP,Dr. Kevin Moreira,7,fernandesbryan@example.com,31 5666 3817,+55 (96) 9 6914-5958,20911-053,Condomínio de Barbosa,21,,Santa Monica,Moura,SP,False,False,False,1
Sra. Gabriela Vargas,SRA. GABRIELA VARGAS,,,1992-12-18,84586341718,652462891,2001-01-15,SSP,RJ,Davi Miguel Dias,4,melotheo@example.org,+55 11 0751-1832,+55 (76) 99669-6010,66774370,Setor de Pacheco,94,,Nossa Senhora Do Rosário,Novaes,RJ,False,False,False,1
Dom Porto,DOM PORTO,,,1962-12-02,37294155143,,,,,Juan Montenegro,7,ana-sophia29@example.com,0500 918 6479,+55 (50) 9 9932 2456,69268808,Ladeira Ferreira,25,,Boa União 2ª Seção,Rodrigues Alegre,MG,False,True,False,1
Laís Aragão,LAÍS ARAGÃO,Dr. Ravy Fogaça,DR. RAVY FOGAÇA,1970-03-31,54013437287,382311990,2001-10-19,IFP,RJ,Maria Sousa,7,tnascimento@example.org,(071) 1319-0094,+55 (000) 99576 7356,06512300,Viaduto Zoe Sales,966,,Caiçara - Adelaide,Cavalcanti de Minas,RJ,False,False,False,1
Sr. Leandro Martins,SR. LEANDRO MARTINS,,,2007-12-19,52079514083,754364834,2005-01-15,OAB,RS,Sra. Ana Luiza da Rocha,2,tsilva@example.net,+55 (031) 8356 5950,+55 (015) 95402 9623,84552249,Estação Luana Pacheco,30,,Delta,da Mata Paulista,PR,False,False,False,1
Raquel Marques,RAQUEL MARQUES,,,1962-06-01,52022181336,877431510,2001-06-04,DETRAN,PR,Isis Freitas,2,levimendes@example.org,0500 160 1795,+55 (094) 96962 8149,72134-586,Largo Costela,27,,Coração Eucarístico,Cirino,RJ,True,False,False,1
Dr. João Pacheco,DR. JOÃO PACHECO,,,1992-02-26,65940171877,465447594,2000-05-10,SSP,MG,Luiz Fernando Freitas,2,nicolas01@example.org,81 5891-3102,+55 (23) 95698-2574,26552852,Colônia de Pires,35,,Apolonia,Casa Grande,RJ,False,False,False,1
Murilo Duarte,MURILO DUARTE,Renan Araújo,RENAN ARAÚJO,1967-06-07,72781396940,545955355,1998-01-31,IFP,SP,Pietra Casa Grande,7,fernandesemanuelly@example.com,+55 (084) 4367 8417,+55 (43) 93571-8849,95138313,Pátio Cardoso,13,,Vila Mantiqueira,Pastor de Fernandes,RJ,False,False,False,1
Marina Brito,MARINA BRITO,,,1978-01-28,67143182354,216071147,1997-03-27,DETRAN,MG,Vicente Vargas,3,luiz-fernandoda-cruz@example.com,(081) 9036-4463,+55 41 93635 9467,27904125,Viaduto de da Paz,82,,São Pedro,Guerra de da Costa,RS,False,True,False,1
Isadora Jesus,ISADORA JESUS,,,2012-03-07,63635093513,457250578,1997-02-14,IFP,MG,Breno Nascimento,3,hduarte@example.com,21 0026 2039,+55 38 94050 3964,83891-227,Aeroporto de Almeida,945,,Jardim Alvorada,Aparecida dos Dourados,PR,False,False,False,1
João Guilherme Cunha,JOÃO GUILHERME CUNHA,,,1948-12-13,44005900542,117536094,1996-08-13,SSP,PR,Renan Campos,7,agatha00@example.net,(031) 3481-7582,+55 19 9 6964 3655,66407824,Loteamento de Sales,8,,Zilah Sposito,Pinto da Praia,MG,True,False,False,1
Sra. Alana Vasconcelos,SRA. ALANA VASCONCELOS,,,1971-11-07,51112073760,167921599,2002-06-25,IFP,RS,José Miguel Mendes,6,catarina56@example.net,+55 (071) 8934 8701,+55 82 9 2292 5989,28314-129,Sítio de Cardoso,439,,Serra Verde,Pinto de Borges,SP,True,False,False,1
Matheus Andrade,MATHEUS ANDRADE,Luigi Ramos,LUIGI RAMOS,2010-11-02,15254224053,571786350,1995-03-27,OAB,PR,João Lucas Dias,6,mendoncabruna@example.com,51 0431 2491,+55 (038) 92601 0041,70301009,Via Gonçalves,35,,Indaiá,Mendes,SP,False,False,False,1
Yago Silva,YAGO SILVA,,,1993-08-01,72530843228,813606315,1995-11-29,DETRAN,SP,Pedro Henrique Jesus,6,alexiacunha@example.net,(011) 6813-8283,+55 60 9 3915 9642,72678635,Setor Siqueira,35,,Vila Engenho Nogueira,Cirino,MG,False,False,False,1
Isadora Pereira,ISADORA PEREIRA,Ravi Lucca Santos,RAVI LUCCA SANTOS,1955-09-04,49765246390,770549955,2005-09-28,OAB,PR,Sr. Gael Henrique Vasconcelos,4,opimenta@example.com,+55 41 0694-0513,+55 28 96751 1492,37010-836,Passarela de Santos,51,,Solar Do Barreiro,Sá do Sul,RS,True,False,False,1
Vitor Gabriel Martins,VITOR GABRIEL MARTINS,,,2010-10-24,64882339129,798411094,1996-02-28,IFP,PR,Olívia Peixoto,6,wnovaes@example.org,+55 (011) 8418 0191,+55 (71) 9 5254 4508,62585-688,Distrito de Gomes,232,,Nova Gameleira,da Cruz,SP,False,True,False,1
Evelyn Camargo,EVELYN CAMARGO,,,2012-01-14,49997746740,191636716,1999-01-16,IFP,SP,Dr. José Pedro Cardoso,4,gabrielly20@example.net,(031) 2876-6119,+55 (59) 99807 8246,70119385,Sítio Isabel Monteiro,59,,Vila Havaí,Correia,RS,False,False,False,1
João Guilherme das Neves,JOÃO GUILHERME DAS NEVES,,,1944-09-06,52371739693,497666027,1996-05-16,SSP,SP,Leandro Carvalho,2,pireshenry-gabriel@example.net,+55 81 5064 3911,+55 (37) 9 6916-4479,84133813,Alameda de Viana,55,,Maria Virgínia,Costela do Campo,PR,True,False,False,1
Ana Liz Nascimento,ANA LIZ NASCIMENTO,,,1957-02-10,39496819907,626965669,1999-05-21,SSP,SP,Maria Laura Nunes,3,josuecardoso@example.net,(081) 1319 4736,+55 (082) 92378-9034,65938-145,Colônia Cardoso,860,,Vila Jardim Leblon,Rodrigues Verde,MG,False,False,False,1
Heitor Nascimento,HEITOR NASCIMENTO,,,1951-06-15,08140644692,842971828,2003-11-28,DETRAN,RJ,Hellena Mendonça,3,bryan74@example.org,61 6502 1803,+55 47 9 9983-6633,93314819,Setor de Santos,98,,Conjunto Lagoa,Novais,RJ,False,False,False,1
Francisco Nunes,FRANCISCO NUNES,,,1960-12-07,74588637061,668205959,1995-04-13,IFP,PR,Luna da Mota,3,isaquesampaio@example.com,(081) 9820 9051,+55 (98) 9 7558-3420,08912-817,Praia de Sá,7,,Vila Maria,Brito,SP,False,True,False,1
Dr. Arthur Nunes,DR. ARTHUR NUNES,,,1962-07-26,03215820714,650332902,2003-10-31,IFP,MG,Giovanna Marques,7,pedro-henriqueporto@example.org,+55 (084) 0922-5439,+55 (041) 99174-7669,45290-245,Favela Pietro Cardoso,75,,Vila Jardim Montanhes,Castro,RS,False,False,False,1
Ryan Cunha,RYAN CUNHA,Maya da Cunha,MAYA DA CUNHA,2007-03-28,12800597704,956283977,2004-09-17,DETRAN,MG,Luana Abreu,3,esthercostela@example.net,(061) 3454 5677,+55 (098) 93833 4921,55434-561,Lagoa Sá,79,,Antonio Ribeiro De Abreu 1ª Seção,Marques,PR,True,False,False,1
Maria Sophia Ribeiro,MARIA SOPHIA RIBEIRO,,,1957-01-05,65753485308,272837879,2005-02-16,SSP,MG,Srta. Maysa Pacheco,2,mendoncatheo@example.com,+55 31 4759-5288,+55 (07) 9 5020 7619,08583-346,Favela de Almeida,6,,Pirineus,Aparecida de Andrade,MG,False,False,False,1
Luiz Gustavo Guerra,LUIZ GUSTAVO GUERRA,,,1974-06-13,93440106250,732214059,1995-02-20,IFP,MG,Clara Borges,2,nbrito@example.net,21 5088-8663,+55 54 9 1547-4396,32846-008,Praia Maria Cecília Aragão,71,,Pindorama,Ferreira Grande,PR,False,True,False,1
Emilly Barros,EMILLY BARROS,,,2011-03-03,35010915405,408876590,1994-08-22,DETRAN,SP,Dr. Enzo Gabriel Garcia,3,ncaldeira@example.net,(041) 6772-1302,+55 74 9 9037-2909,00973191,Residencial Sales,6,,Vila Sumaré,Barbosa,SP,True,False,False,1
Levi Silveira,LEVI SILVEIRA,,,1973-09-06,31570660050,,,,,Gabrielly Teixeira,2,isisda-cunha@example.net,(081) 0437 6700,+55 83 9 0314-3544,61143-612,Setor Liam Barros,87,,Vila Copacabana,Abreu,RJ,False,False,False,1
Eduardo Fernandes,EDUARDO FERNANDES,,,2005-07-22,94719093094,289172045,2005-04-22,OAB,SP,Arthur Miguel Freitas,5,dnogueira@example.org,61 1837 6109,+55 (24) 9 3260-3423,86281-930,Quadra Duarte,6,,Tupi B,Albuquerque,SP,False,False,False,1
Léo Vargas,LÉO VARGAS,,,1997-04-06,11414652801,194769113,2001-05-13,OAB,PR,Oliver Guerra,6,lucas52@example.org,+55 (031) 8891 4418,+55 (003) 94688 4512,20835-071,Alameda Asafe Gonçalves,6,,Esplanada,Vieira do Sul,PR,False,False,False,1
Dr. José Pedro Casa Grande,DR. JOSÉ PEDRO CASA GRANDE,,,1962-10-12,58868759721,198682865,2003-05-18,IFP,PR,Maria Luísa Freitas,7,correiaana-laura@example.com,(031) 5846 5999,+55 27 99181-0475,95213-031,Recanto de Machado,7,,Conjunto Serra Verde,Silveira,SP,False,False,False,1
Dra. Rafaela Correia,DRA. RAFAELA CORREIA,Caleb Oliveira,CALEB OLIVEIRA,2012-02-29,60880263830,205701431,2004-03-13,DETRAN,RJ,Sr. Alexandre da Mata,7,alanapeixoto@example.com,+55 41 0741 4083,+55 (68) 9 9328 0138,20478-876,Parque de Albuquerque,4,,Jardim São José,Moura,MG,False,False,False,1
Caroline Porto,CAROLINE PORTO,,,1990-02-28,97497208578,458018785,2000-06-06,DETRAN,RS,Luna Cavalcanti,6,maysa95@example.org,(021) 1341 9074,+55 35 9 1022-7208,26023344,Esplanada Alice Pires,6,,Embaúbas,Costela,RS,False,True,False,1
Luiz Gustavo da Rosa,LUIZ GUSTAVO DA ROSA,Gael Henrique da Luz,GAEL HENRIQUE DA LUZ,1987-10-19,45497560121,592199462,2004-03-22,DETRAN,PR,Vinícius Martins,2,miguelrios@example.net,+55 51 0621 7664,+55 (68) 93031 4186,49085-402,Sítio Costela,21,,Xodo-Marize,Nascimento,SP,False,False,False,1
Aurora Sales,AURORA SALES,,,1964-03-02,39536127512,141147381,1995-03-13,SSP,RS,Sra. Luana Gonçalves,7,sandrade@example.com,0900-057-8782,+55 73 91838 5256,96221823,Alameda Vasconcelos,33,,Solimoes,Novaes do Norte,RS,False,False,False,1
Dom Leão,DOM LEÃO,,,1981-04-29,17306582291,480314223,1996-12-14,IFP,RS,Joaquim Macedo,2,luiz-fernando50@example.com,0500 109 9863,+55 38 91824 1030,50906541,Jardim Cirino,461,,Juliana,Leão de Aragão,PR,False,False,False,1
Josué Castro,JOSUÉ CASTRO,,,1981-10-03,00483399116,546321171,1994-08-24,IFP,MG,Dr. Kaique Andrade,3,enrico63@example.net,+55 (051) 1806 9260,+55 (39) 9 5251 1992,70332-133,Lago de Cardoso,12,,Novo Ouro Preto,Melo de Goiás,RS,True,True,False,1
Sra. Maysa Andrade,SRA. MAYSA ANDRADE,Stella Silveira,STELLA SILVEIRA,1970-07-07,80224767305,461308819,1997-04-15,DETRAN,RS,Danilo Leão,7,lcamara@example.net,0900 408 3871,+55 79 90443-0880,24543309,Lagoa Ana Liz Moreira,34,,Cidade Jardim Taquaril,Sá de Duarte,RS,False,False,False,1
Clara Barros,CLARA BARROS,,,1985-09-15,81465011765,763643918,1999-06-25,DETRAN,RJ,Francisco Câmara,3,isampaio@example.org,+55 61 6936 0406,+55 (68) 9 9467-6934,37144-926,Largo de Dias,31,,Barro Preto,Ribeiro,SP,True,False,False,1
Ana Vitória Albuquerque,ANA VITÓRIA ALBUQUERQUE,,,1996-04-24,85601577358,640981831,1996-05-26,DETRAN,RJ,Natália Dias,6,carlos-eduardoduarte@example.net,31 4017 5717,+55 (79) 9 6330-1563,27006877,Travessa Barros,60,,Nazare,Borges,SP,False,False,False,1
Ravi Lima,RAVI LIMA,,,1959-02-28,17353450240,403996170,2000-02-15,SSP,MG,João Pedro das Neves,7,davi-luiz45@example.net,+55 (021) 5132 0441,+55 (026) 94806-6196,92701-484,Viaduto Teixeira,7,,Vila Vista Alegre,Gonçalves,RJ,False,False,False,1
Juliana da Rosa,JULIANA DA ROSA,,,1988-03-29,86657514751,780886523,2001-09-13,OAB,PR,Sophie Nascimento,2,psilva@example.org,(021) 5699-2736,+55 (76) 9 7259 3249,36180-035,Fazenda Freitas,244,,Glória,Freitas,PR,False,False,False,1
Felipe Araújo,FELIPE ARAÚJO,,,1957-08-21,85485198783,555752943,1997-04-14,DETRAN,PR,Breno da Mata,6,epeixoto@example.org,+55 81 3854-8368,+55 (67) 92351 9765,78826-288,Estrada Alves,305,,Vila Da Amizade,Vasconcelos Grande,RJ,False,True,False,1
